Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
40,Polkadot,DOT,"May 27, 2022",$9.18 ,$9.91 ,$8.61 ,$9.13 ,"$1,254,089,101 ","$9,018,478,727 "
41,Polkadot,DOT,"May 26, 2022",$9.87 ,$9.98 ,$8.91 ,$9.18 ,"$871,673,940 ","$9,066,990,855 "
42,Polkadot,DOT,"May 25, 2022",$10.18 ,$10.31 ,$9.85 ,$9.87 ,"$575,708,120 ","$9,744,031,901 "
43,Polkadot,DOT,"May 24, 2022",$9.89 ,$10.25 ,$9.62 ,$10.18 ,"$662,049,564 ","$10,054,722,308 "
44,Polkadot,DOT,"May 23, 2022",$10.18 ,$10.70 ,$9.89 ,$9.89 ,"$865,694,286 ","$9,764,157,773 "
45,Polkadot,DOT,"May 22, 2022",$9.99 ,$10.31 ,$9.90 ,$10.19 ,"$478,292,426 ","$10,059,589,554 "
46,Polkadot,DOT,"May 21, 2022",$9.68 ,$10.05 ,$9.52 ,$9.99 ,"$423,592,840 ","$9,868,392,735 "
47,Polkadot,DOT,"May 20, 2022",$10.04 ,$10.22 ,$9.47 ,$9.68 ,"$640,193,446 ","$9,564,457,273 "
48,Polkadot,DOT,"May 19, 2022",$9.50 ,$10.32 ,$9.27 ,$10.04 ,"$853,915,374 ","$9,916,882,263 "
49,Polkadot,DOT,"May 18, 2022",$11.04 ,$11.14 ,$9.51 ,$9.51 ,"$877,968,843 ","$9,388,596,955 "
50,Polkadot,DOT,"May 17, 2022",$10.63 ,$11.29 ,$10.48 ,$11.03 ,"$763,521,915 ","$10,897,183,478 "
51,Polkadot,DOT,"May 16, 2022",$11.79 ,$11.79 ,$10.44 ,$10.62 ,"$900,666,870 ","$10,492,669,466 "
52,Polkadot,DOT,"May 15, 2022",$11.35 ,$11.82 ,$10.64 ,$11.80 ,"$972,329,755 ","$11,649,063,178 "
53,Polkadot,DOT,"May 14, 2022",$10.49 ,$11.50 ,$9.83 ,$11.35 ,"$1,414,801,522 ","$11,209,697,889 "
54,Polkadot,DOT,"May 13, 2022",$8.74 ,$11.73 ,$8.58 ,$10.49 ,"$1,860,790,600 ","$10,362,966,456 "
55,Polkadot,DOT,"May 12, 2022",$8.97 ,$9.43 ,$7.32 ,$8.75 ,"$1,718,065,655 ","$8,636,690,005 "
56,Polkadot,DOT,"May 11, 2022",$11.35 ,$11.61 ,$8.29 ,$8.96 ,"$2,370,958,313 ","$8,844,945,617 "
57,Polkadot,DOT,"May 10, 2022",$10.77 ,$12.33 ,$10.45 ,$11.36 ,"$1,771,556,667 ","$11,217,411,956 "
58,Polkadot,DOT,"May 09, 2022",$13.26 ,$13.46 ,$10.77 ,$10.77 ,"$1,529,550,074 ","$10,633,301,984 "
59,Polkadot,DOT,"May 08, 2022",$13.77 ,$13.83 ,$13.09 ,$13.25 ,"$758,610,863 ","$13,089,449,127 "
60,Polkadot,DOT,"May 07, 2022",$14.31 ,$14.35 ,$13.48 ,$13.78 ,"$593,983,001 ","$13,604,551,349 "
61,Polkadot,DOT,"May 06, 2022",$14.58 ,$14.64 ,$13.94 ,$14.31 ,"$868,156,078 ","$14,135,323,180 "
62,Polkadot,DOT,"May 05, 2022",$16.30 ,$16.42 ,$14.19 ,$14.58 ,"$953,754,626 ","$14,399,921,303 "
63,Polkadot,DOT,"May 04, 2022",$14.73 ,$16.31 ,$14.70 ,$16.31 ,"$747,195,893 ","$16,102,734,247 "
64,Polkadot,DOT,"May 03, 2022",$14.98 ,$15.21 ,$14.56 ,$14.73 ,"$492,425,638 ","$14,544,117,180 "
65,Polkadot,DOT,"May 02, 2022",$15.38 ,$15.57 ,$14.63 ,$14.98 ,"$684,752,563 ","$14,792,400,452 "
66,Polkadot,DOT,"May 01, 2022",$14.52 ,$15.51 ,$14.51 ,$15.38 ,"$707,973,556 ","$15,190,677,415 "
67,Polkadot,DOT,"Apr 30, 2022",$16.16 ,$16.41 ,$14.29 ,$14.52 ,"$689,300,174 ","$14,339,591,541 "
68,Polkadot,DOT,"Apr 29, 2022",$16.99 ,$17.05 ,$16.05 ,$16.16 ,"$573,927,609 ","$15,962,038,041 "
69,Polkadot,DOT,"Apr 28, 2022",$16.95 ,$17.36 ,$16.80 ,$17.00 ,"$609,272,520 ","$16,785,406,016 "
70,Polkadot,DOT,"Apr 27, 2022",$16.66 ,$17.25 ,$16.56 ,$16.95 ,"$616,421,238 ","$16,737,511,425 "
71,Polkadot,DOT,"Apr 26, 2022",$18.12 ,$18.30 ,$16.46 ,$16.65 ,"$787,835,544 ","$16,443,789,087 "
72,Polkadot,DOT,"Apr 25, 2022",$18.16 ,$18.22 ,$17.19 ,$18.12 ,"$799,411,358 ","$17,894,917,102 "
73,Polkadot,DOT,"Apr 24, 2022",$18.73 ,$19.14 ,$18.13 ,$18.16 ,"$576,662,878 ","$17,933,115,345 "
74,Polkadot,DOT,"Apr 23, 2022",$18.30 ,$19.23 ,$18.04 ,$18.73 ,"$625,753,368 ","$18,499,998,573 "
75,Polkadot,DOT,"Apr 22, 2022",$18.19 ,$18.52 ,$18.12 ,$18.30 ,"$629,068,408 ","$18,071,841,212 "
76,Polkadot,DOT,"Apr 21, 2022",$19.09 ,$19.63 ,$18.14 ,$18.19 ,"$772,305,840 ","$17,960,112,940 "
77,Polkadot,DOT,"Apr 20, 2022",$18.90 ,$19.49 ,$18.57 ,$19.09 ,"$830,807,797 ","$18,851,682,495 "
78,Polkadot,DOT,"Apr 19, 2022",$18.17 ,$18.93 ,$18.07 ,$18.90 ,"$565,507,514 ","$18,662,100,179 "
79,Polkadot,DOT,"Apr 18, 2022",$17.78 ,$18.31 ,$17.17 ,$18.17 ,"$712,879,608 ","$17,943,868,855 "
80,Polkadot,DOT,"Apr 17, 2022",$18.63 ,$18.80 ,$17.72 ,$17.78 ,"$473,113,233 ","$17,559,628,612 "
81,Polkadot,DOT,"Apr 16, 2022",$18.35 ,$18.68 ,$18.23 ,$18.63 ,"$424,249,982 ","$18,398,681,106 "
82,Polkadot,DOT,"Apr 15, 2022",$17.93 ,$18.38 ,$17.83 ,$18.35 ,"$507,063,069 ","$18,122,990,185 "
83,Polkadot,DOT,"Apr 14, 2022",$18.20 ,$18.47 ,$17.53 ,$17.93 ,"$631,848,192 ","$17,708,082,150 "
84,Polkadot,DOT,"Apr 13, 2022",$17.78 ,$18.27 ,$17.44 ,$18.20 ,"$657,673,530 ","$17,972,461,925 "
85,Polkadot,DOT,"Apr 12, 2022",$17.20 ,$18.00 ,$17.20 ,$17.79 ,"$773,573,439 ","$17,564,966,530 "
86,Polkadot,DOT,"Apr 11, 2022",$19.29 ,$19.29 ,$17.04 ,$17.19 ,"$998,107,923 ","$16,975,394,025 "
87,Polkadot,DOT,"Apr 10, 2022",$19.78 ,$20.20 ,$19.29 ,$19.29 ,"$599,807,810 ","$19,045,769,298 "
88,Polkadot,DOT,"Apr 09, 2022",$19.40 ,$19.81 ,$19.33 ,$19.79 ,"$501,767,579 ","$19,541,810,718 "
89,Polkadot,DOT,"Apr 08, 2022",$20.43 ,$20.56 ,$19.25 ,$19.40 ,"$776,611,556 ","$19,159,911,661 "
90,Polkadot,DOT,"Apr 07, 2022",$19.84 ,$20.62 ,$19.60 ,$20.43 ,"$819,238,353 ","$20,172,682,054 "
91,Polkadot,DOT,"Apr 06, 2022",$21.79 ,$21.79 ,$19.78 ,$19.84 ,"$1,143,523,884 ","$19,593,212,094 "
92,Polkadot,DOT,"Apr 05, 2022",$22.70 ,$23.10 ,$21.78 ,$21.79 ,"$954,861,206 ","$21,519,070,368 "
93,Polkadot,DOT,"Apr 04, 2022",$23.20 ,$23.20 ,$21.69 ,$22.66 ,"$1,108,582,879 ","$22,376,344,892 "
94,Polkadot,DOT,"Apr 03, 2022",$22.61 ,$23.54 ,$22.58 ,$23.21 ,"$1,135,251,124 ","$22,919,985,031 "
95,Polkadot,DOT,"Apr 02, 2022",$22.02 ,$23.77 ,$21.99 ,$22.64 ,"$1,394,919,294 ","$22,363,274,074 "
96,Polkadot,DOT,"Apr 01, 2022",$21.31 ,$22.13 ,$20.72 ,$22.02 ,"$1,125,808,777 ","$21,743,520,213 "
97,Polkadot,DOT,"Mar 31, 2022",$22.46 ,$23.00 ,$21.18 ,$21.30 ,"$1,190,050,413 ","$21,037,919,496 "
98,Polkadot,DOT,"Mar 30, 2022",$22.48 ,$22.97 ,$21.77 ,$22.47 ,"$1,114,497,681 ","$22,189,274,693 "
99,Polkadot,DOT,"Mar 29, 2022",$21.96 ,$22.91 ,$21.89 ,$22.49 ,"$1,167,942,746 ","$22,206,886,612 "
100,Polkadot,DOT,"Mar 28, 2022",$22.45 ,$23.27 ,$21.90 ,$21.97 ,"$1,265,796,274 ","$21,697,561,066 "
101,Polkadot,DOT,"Mar 27, 2022",$20.89 ,$22.45 ,$20.77 ,$22.45 ,"$766,114,013 ","$22,169,044,497 "
102,Polkadot,DOT,"Mar 26, 2022",$20.55 ,$21.02 ,$20.30 ,$20.89 ,"$559,036,946 ","$20,628,513,458 "
103,Polkadot,DOT,"Mar 25, 2022",$21.25 ,$21.32 ,$20.27 ,$20.55 ,"$887,840,773 ","$20,292,073,668 "
104,Polkadot,DOT,"Mar 24, 2022",$21.00 ,$21.43 ,$20.38 ,$21.25 ,"$1,230,204,385 ","$20,981,607,893 "
105,Polkadot,DOT,"Mar 23, 2022",$20.25 ,$21.07 ,$19.88 ,$21.00 ,"$1,321,882,560 ","$20,743,071,908 "
106,Polkadot,DOT,"Mar 22, 2022",$18.79 ,$20.43 ,$18.71 ,$20.25 ,"$1,206,899,926 ","$20,000,652,960 "
107,Polkadot,DOT,"Mar 21, 2022",$18.64 ,$19.05 ,$18.47 ,$18.80 ,"$726,848,268 ","$18,561,820,038 "
108,Polkadot,DOT,"Mar 20, 2022",$19.36 ,$19.44 ,$18.39 ,$18.64 ,"$688,372,541 ","$18,407,139,482 "
109,Polkadot,DOT,"Mar 19, 2022",$18.99 ,$19.77 ,$18.91 ,$19.36 ,"$833,974,878 ","$19,119,046,129 "
