Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
48,UNUS SED LEO,LEO,"May 19, 2022",$4.93 ,$5.24 ,$4.93 ,$4.98 ,"$6,515,514 ","$4,750,102,747 "
49,UNUS SED LEO,LEO,"May 18, 2022",$4.98 ,$5.19 ,$4.92 ,$4.94 ,"$6,364,709 ","$4,709,923,598 "
50,UNUS SED LEO,LEO,"May 17, 2022",$4.93 ,$5.00 ,$4.91 ,$4.98 ,"$6,314,092 ","$4,752,255,466 "
51,UNUS SED LEO,LEO,"May 16, 2022",$4.98 ,$5.02 ,$4.90 ,$4.94 ,"$6,860,691 ","$4,708,427,560 "
52,UNUS SED LEO,LEO,"May 15, 2022",$5.02 ,$5.04 ,$4.96 ,$4.98 ,"$7,284,397 ","$4,751,626,843 "
53,UNUS SED LEO,LEO,"May 14, 2022",$5.06 ,$5.16 ,$5.00 ,$5.02 ,"$6,512,058 ","$4,788,177,950 "
54,UNUS SED LEO,LEO,"May 13, 2022",$5.09 ,$5.27 ,$5.04 ,$5.06 ,"$7,362,928 ","$4,831,631,848 "
55,UNUS SED LEO,LEO,"May 12, 2022",$5.20 ,$5.30 ,$5.04 ,$5.09 ,"$8,004,446 ","$4,857,733,351 "
56,UNUS SED LEO,LEO,"May 11, 2022",$5.42 ,$5.57 ,$5.21 ,$5.21 ,"$10,583,311 ","$4,967,477,580 "
57,UNUS SED LEO,LEO,"May 10, 2022",$5.20 ,$5.50 ,$5.10 ,$5.42 ,"$7,096,372 ","$5,167,318,042 "
58,UNUS SED LEO,LEO,"May 09, 2022",$5.34 ,$5.45 ,$5.16 ,$5.20 ,"$7,592,143 ","$4,961,229,302 "
59,UNUS SED LEO,LEO,"May 08, 2022",$5.27 ,$5.44 ,$5.21 ,$5.34 ,"$6,124,467 ","$5,094,853,614 "
60,UNUS SED LEO,LEO,"May 07, 2022",$5.38 ,$5.42 ,$5.20 ,$5.27 ,"$6,649,132 ","$5,030,723,530 "
61,UNUS SED LEO,LEO,"May 06, 2022",$5.13 ,$5.41 ,$5.05 ,$5.38 ,"$6,393,349 ","$5,129,251,627 "
62,UNUS SED LEO,LEO,"May 05, 2022",$5.63 ,$5.68 ,$5.06 ,$5.14 ,"$7,814,901 ","$4,900,124,664 "
63,UNUS SED LEO,LEO,"May 04, 2022",$5.61 ,$5.68 ,$5.52 ,$5.62 ,"$6,923,115 ","$5,364,201,729 "
