Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
17,Solana,SOL,"Jun 19, 2022",$31.81 ,$35.16 ,$28.91 ,$34.24 ,"$2,005,402,608 ","$11,724,330,826 "
18,Solana,SOL,"Jun 18, 2022",$30.74 ,$31.84 ,$27.46 ,$31.81 ,"$1,804,420,726 ","$10,890,380,857 "
19,Solana,SOL,"Jun 17, 2022",$30.00 ,$32.01 ,$29.48 ,$30.74 ,"$1,283,536,081 ","$10,525,467,560 "
20,Solana,SOL,"Jun 16, 2022",$34.51 ,$35.71 ,$29.73 ,$29.99 ,"$1,908,909,523 ","$10,266,933,101 "
21,Solana,SOL,"Jun 15, 2022",$29.70 ,$34.57 ,$26.87 ,$34.49 ,"$2,574,959,860 ","$11,802,105,691 "
22,Solana,SOL,"Jun 14, 2022",$28.18 ,$31.61 ,$26.06 ,$29.71 ,"$2,317,785,256 ","$10,168,590,806 "
23,Solana,SOL,"Jun 13, 2022",$30.73 ,$30.92 ,$26.14 ,$28.19 ,"$2,577,135,234 ","$9,647,671,921 "
24,Solana,SOL,"Jun 12, 2022",$33.84 ,$34.23 ,$30.74 ,$30.74 ,"$1,430,666,510 ","$10,516,559,194 "
25,Solana,SOL,"Jun 11, 2022",$37.09 ,$37.84 ,$33.44 ,$33.82 ,"$1,086,904,917 ","$11,569,435,498 "
26,Solana,SOL,"Jun 10, 2022",$39.97 ,$40.77 ,$37.00 ,$37.09 ,"$1,177,042,406 ","$12,681,410,990 "
27,Solana,SOL,"Jun 09, 2022",$38.85 ,$41.72 ,$38.56 ,$39.97 ,"$1,265,873,005 ","$13,665,953,109 "
28,Solana,SOL,"Jun 08, 2022",$39.43 ,$40.53 ,$38.40 ,$38.84 ,"$1,211,034,282 ","$13,274,759,592 "
29,Solana,SOL,"Jun 07, 2022",$42.43 ,$42.45 ,$37.78 ,$39.44 ,"$1,974,825,213 ","$13,425,918,917 "
30,Solana,SOL,"Jun 06, 2022",$38.50 ,$44.45 ,$38.44 ,$42.43 ,"$1,955,057,411 ","$14,424,637,594 "
31,Solana,SOL,"Jun 05, 2022",$38.93 ,$40.00 ,$38.04 ,$38.48 ,"$998,532,387 ","$13,075,923,615 "
32,Solana,SOL,"Jun 04, 2022",$38.27 ,$39.04 ,$36.04 ,$38.93 ,"$1,130,762,770 ","$13,229,166,675 "
33,Solana,SOL,"Jun 03, 2022",$40.90 ,$41.43 ,$37.80 ,$38.26 ,"$1,348,656,102 ","$13,000,761,217 "
34,Solana,SOL,"Jun 02, 2022",$40.26 ,$41.33 ,$38.36 ,$40.89 ,"$1,554,022,054 ","$13,895,197,382 "
35,Solana,SOL,"Jun 01, 2022",$45.77 ,$45.95 ,$40.05 ,$40.27 ,"$1,422,647,092 ","$13,690,214,128 "
36,Solana,SOL,"May 31, 2022",$47.18 ,$48.04 ,$44.84 ,$45.77 ,"$1,509,191,627 ","$15,539,526,233 "
37,Solana,SOL,"May 30, 2022",$44.91 ,$47.94 ,$44.36 ,$47.18 ,"$1,708,817,065 ","$16,018,826,338 "
38,Solana,SOL,"May 29, 2022",$44.34 ,$45.39 ,$42.00 ,$44.91 ,"$1,317,843,243 ","$15,248,168,487 "
39,Solana,SOL,"May 28, 2022",$41.49 ,$44.66 ,$40.55 ,$44.34 ,"$1,254,325,884 ","$15,049,997,721 "
40,Solana,SOL,"May 27, 2022",$43.47 ,$43.81 ,$40.27 ,$40.98 ,"$2,256,358,026 ","$13,909,019,555 "
41,Solana,SOL,"May 26, 2022",$47.98 ,$48.55 ,$42.32 ,$43.49 ,"$2,208,994,514 ","$14,760,880,599 "
42,Solana,SOL,"May 25, 2022",$49.65 ,$50.44 ,$47.67 ,$47.98 ,"$1,304,580,067 ","$16,278,899,689 "
43,Solana,SOL,"May 24, 2022",$49.06 ,$50.58 ,$47.50 ,$49.65 ,"$1,508,166,642 ","$16,845,804,589 "
44,Solana,SOL,"May 23, 2022",$52.74 ,$54.47 ,$48.93 ,$49.06 ,"$1,661,669,360 ","$16,643,425,150 "
45,Solana,SOL,"May 22, 2022",$50.32 ,$53.02 ,$49.86 ,$52.76 ,"$1,105,760,506 ","$17,898,175,243 "
46,Solana,SOL,"May 21, 2022",$49.54 ,$51.06 ,$48.77 ,$50.32 ,"$979,492,374 ","$17,064,668,695 "
47,Solana,SOL,"May 20, 2022",$52.21 ,$53.44 ,$48.05 ,$49.54 ,"$1,830,699,507 ","$16,800,346,869 "
48,Solana,SOL,"May 19, 2022",$49.79 ,$53.62 ,$48.64 ,$52.21 ,"$1,958,004,386 ","$17,707,717,285 "
49,Solana,SOL,"May 18, 2022",$57.12 ,$57.70 ,$49.73 ,$49.76 ,"$1,745,565,671 ","$16,785,534,282 "
50,Solana,SOL,"May 17, 2022",$53.66 ,$58.04 ,$53.51 ,$57.13 ,"$1,823,895,389 ","$19,271,673,603 "
51,Solana,SOL,"May 16, 2022",$58.80 ,$58.80 ,$52.27 ,$53.65 ,"$2,067,312,217 ","$18,086,298,370 "
52,Solana,SOL,"May 15, 2022",$52.43 ,$58.88 ,$49.83 ,$58.81 ,"$1,843,835,578 ","$19,846,538,362 "
53,Solana,SOL,"May 14, 2022",$48.68 ,$53.06 ,$46.22 ,$52.42 ,"$2,042,138,537 ","$17,681,477,160 "
54,Solana,SOL,"May 13, 2022",$44.63 ,$55.90 ,$44.08 ,$48.59 ,"$2,854,210,432 ","$16,391,692,821 "
55,Solana,SOL,"May 12, 2022",$50.24 ,$53.66 ,$38.05 ,$44.68 ,"$4,471,167,155 ","$15,054,952,460 "
56,Solana,SOL,"May 11, 2022",$66.73 ,$68.12 ,$44.00 ,$50.21 ,"$4,432,811,558 ","$16,910,528,275 "
57,Solana,SOL,"May 10, 2022",$63.37 ,$73.76 ,$61.03 ,$66.77 ,"$3,677,013,066 ","$22,475,117,995 "
58,Solana,SOL,"May 09, 2022",$75.23 ,$76.98 ,$63.27 ,$63.27 ,"$2,773,999,164 ","$21,297,991,171 "
59,Solana,SOL,"May 08, 2022",$78.99 ,$79.28 ,$74.53 ,$75.22 ,"$1,439,700,868 ","$25,222,885,523 "
60,Solana,SOL,"May 07, 2022",$81.77 ,$82.18 ,$77.88 ,$78.98 ,"$1,139,093,165 ","$26,474,257,128 "
61,Solana,SOL,"May 06, 2022",$84.59 ,$84.65 ,$80.47 ,$81.76 ,"$1,585,081,920 ","$27,365,865,669 "
62,Solana,SOL,"May 05, 2022",$92.77 ,$95.03 ,$81.83 ,$84.60 ,"$1,805,979,399 ","$28,284,629,324 "
63,Solana,SOL,"May 04, 2022",$85.84 ,$92.94 ,$85.73 ,$92.77 ,"$1,428,455,342 ","$31,005,535,019 "
64,Solana,SOL,"May 03, 2022",$87.56 ,$88.69 ,$84.92 ,$85.84 ,"$1,011,988,792 ","$28,689,978,615 "
65,Solana,SOL,"May 02, 2022",$89.67 ,$90.69 ,$85.41 ,$87.58 ,"$1,265,220,129 ","$29,271,114,446 "
66,Solana,SOL,"May 01, 2022",$85.09 ,$92.43 ,$84.94 ,$89.67 ,"$1,426,749,080 ","$29,986,417,060 "
67,Solana,SOL,"Apr 30, 2022",$94.01 ,$94.93 ,$82.91 ,$85.10 ,"$1,293,033,765 ","$28,422,718,818 "
68,Solana,SOL,"Apr 29, 2022",$98.18 ,$98.57 ,$92.88 ,$94.01 ,"$1,234,575,023 ","$31,400,352,079 "
