Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
64,Tether,USDT,"May 03, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$52,924,035,065 ","$83,161,656,879 "
65,Tether,USDT,"May 02, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$63,751,566,652 ","$83,149,156,124 "
66,Tether,USDT,"May 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$61,420,362,842 ","$83,162,272,400 "
67,Tether,USDT,"Apr 30, 2022",$1.00 ,$1.00 ,$1 ,$1.00 ,"$57,266,339,850 ","$83,165,743,151 "
68,Tether,USDT,"Apr 29, 2022",$1.00 ,$1.00 ,$1 ,$1.00 ,"$67,899,674,445 ","$83,154,548,440 "
69,Tether,USDT,"Apr 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$68,392,086,439 ","$83,168,755,929 "
70,Tether,USDT,"Apr 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$61,043,327,313 ","$83,185,571,673 "
71,Tether,USDT,"Apr 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$69,068,297,656 ","$83,166,582,940 "
72,Tether,USDT,"Apr 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$73,256,647,805 ","$83,138,281,148 "
73,Tether,USDT,"Apr 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$39,519,383,045 ","$83,142,781,297 "
74,Tether,USDT,"Apr 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$38,357,597,167 ","$83,133,137,926 "
75,Tether,USDT,"Apr 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$60,728,483,573 ","$83,088,666,666 "
76,Tether,USDT,"Apr 21, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$77,014,328,066 ","$83,010,873,378 "
77,Tether,USDT,"Apr 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$66,021,482,830 ","$82,870,631,126 "
78,Tether,USDT,"Apr 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$57,975,539,645 ","$82,844,266,767 "
79,Tether,USDT,"Apr 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$68,691,204,704 ","$82,746,424,716 "
80,Tether,USDT,"Apr 17, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$40,964,576,376 ","$82,744,322,401 "
81,Tether,USDT,"Apr 16, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$35,315,439,111 ","$82,742,809,447 "
