Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
14,Bitcoin,BTC,"Jun 22, 2022","$20,719.41 ","$20,835.75 ","$19,848.08 ","$19,987.03 ","$28,574,793,478 ","$381,240,087,224 "
15,Bitcoin,BTC,"Jun 21, 2022","$20,594.29 ","$21,620.63 ","$20,415.06 ","$20,710.60 ","$28,970,212,744 ","$395,025,644,880 "
16,Bitcoin,BTC,"Jun 20, 2022","$20,553.37 ","$20,913.32 ","$19,689.17 ","$20,599.54 ","$30,818,458,597 ","$392,888,024,959 "
17,Bitcoin,BTC,"Jun 19, 2022","$19,010.90 ","$20,683.82 ","$18,067.15 ","$20,553.27 ","$35,329,942,625 ","$391,988,917,194 "
18,Bitcoin,BTC,"Jun 18, 2022","$20,473.42 ","$20,736.04 ","$17,708.62 ","$19,017.64 ","$42,009,436,760 ","$362,685,324,229 "
19,Bitcoin,BTC,"Jun 17, 2022","$20,385.72 ","$21,243.31 ","$20,326.52 ","$20,471.48 ","$27,132,421,514 ","$390,391,528,176 "
20,Bitcoin,BTC,"Jun 16, 2022","$22,576.31 ","$22,868.92 ","$20,265.23 ","$20,381.65 ","$31,183,975,654 ","$388,664,840,557 "
21,Bitcoin,BTC,"Jun 15, 2022","$22,196.73 ","$22,642.67 ","$20,178.38 ","$22,572.84 ","$54,912,007,015 ","$430,432,160,006 "
22,Bitcoin,BTC,"Jun 14, 2022","$22,487.99 ","$23,018.95 ","$20,950.82 ","$22,206.79 ","$50,913,575,242 ","$423,429,131,864 "
23,Bitcoin,BTC,"Jun 13, 2022","$26,737.58 ","$26,795.59 ","$22,141.26 ","$22,487.39 ","$68,204,556,440 ","$428,759,852,105 "
24,Bitcoin,BTC,"Jun 12, 2022","$28,373.51 ","$28,502.69 ","$26,762.65 ","$26,762.65 ","$34,163,220,274 ","$510,252,464,821 "
25,Bitcoin,BTC,"Jun 11, 2022","$29,084.67 ","$29,401.92 ","$28,236.21 ","$28,360.81 ","$27,246,574,439 ","$540,698,499,860 "
26,Bitcoin,BTC,"Jun 10, 2022","$30,110.33 ","$30,245.81 ","$28,978.15 ","$29,083.80 ","$29,867,476,527 ","$554,455,834,486 "
27,Bitcoin,BTC,"Jun 09, 2022","$30,215.28 ","$30,609.31 ","$30,020.26 ","$30,112.00 ","$21,692,004,719 ","$574,029,141,739 "
28,Bitcoin,BTC,"Jun 08, 2022","$31,151.48 ","$31,253.69 ","$29,944.40 ","$30,214.36 ","$30,242,059,107 ","$575,953,219,488 "
29,Bitcoin,BTC,"Jun 07, 2022","$31,371.74 ","$31,489.68 ","$29,311.68 ","$31,155.48 ","$40,770,974,039 ","$593,857,882,017 "
30,Bitcoin,BTC,"Jun 06, 2022","$29,910.28 ","$31,693.29 ","$29,894.19 ","$31,370.67 ","$31,947,336,829 ","$597,927,548,347 "
