Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
49,Dogecoin,DOGE,"May 18, 2022",$0.09 ,$0.09 ,$0.08 ,$0.08 ,"$558,257,804 ","$11,097,791,216 "
50,Dogecoin,DOGE,"May 17, 2022",$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$560,800,173 ","$11,968,648,400 "
51,Dogecoin,DOGE,"May 16, 2022",$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$606,521,740 ","$11,653,943,120 "
52,Dogecoin,DOGE,"May 15, 2022",$0.09 ,$0.09 ,$0.09 ,$0.09 ,"$651,900,826 ","$12,317,527,158 "
53,Dogecoin,DOGE,"May 14, 2022",$0.09 ,$0.09 ,$0.08 ,$0.09 ,"$902,479,951 ","$11,913,357,725 "
54,Dogecoin,DOGE,"May 13, 2022",$0.08 ,$0.09 ,$0.08 ,$0.09 ,"$1,444,350,618 ","$11,718,876,379 "
55,Dogecoin,DOGE,"May 12, 2022",$0.08 ,$0.09 ,$0.07 ,$0.08 ,"$2,631,064,083 ","$10,968,022,313 "
56,Dogecoin,DOGE,"May 11, 2022",$0.11 ,$0.11 ,$0.08 ,$0.08 ,"$2,556,008,051 ","$11,221,387,239 "
57,Dogecoin,DOGE,"May 10, 2022",$0.10 ,$0.12 ,$0.10 ,$0.11 ,"$1,723,066,438 ","$14,391,789,569 "
58,Dogecoin,DOGE,"May 09, 2022",$0.12 ,$0.13 ,$0.10 ,$0.10 ,"$1,353,326,367 ","$13,907,076,456 "
59,Dogecoin,DOGE,"May 08, 2022",$0.13 ,$0.13 ,$0.12 ,$0.12 ,"$728,953,161 ","$16,478,661,440 "
60,Dogecoin,DOGE,"May 07, 2022",$0.13 ,$0.13 ,$0.13 ,$0.13 ,"$746,383,231 ","$16,919,774,366 "
61,Dogecoin,DOGE,"May 06, 2022",$0.13 ,$0.13 ,$0.12 ,$0.13 ,"$839,005,988 ","$16,968,658,299 "
62,Dogecoin,DOGE,"May 05, 2022",$0.14 ,$0.14 ,$0.13 ,$0.13 ,"$1,258,066,467 ","$17,038,840,266 "
63,Dogecoin,DOGE,"May 04, 2022",$0.13 ,$0.14 ,$0.13 ,$0.14 ,"$838,050,627 ","$18,017,851,487 "
64,Dogecoin,DOGE,"May 03, 2022",$0.13 ,$0.13 ,$0.13 ,$0.13 ,"$555,706,527 ","$17,183,527,162 "
65,Dogecoin,DOGE,"May 02, 2022",$0.13 ,$0.13 ,$0.13 ,$0.13 ,"$769,062,732 ","$17,371,642,651 "
66,Dogecoin,DOGE,"May 01, 2022",$0.13 ,$0.13 ,$0.13 ,$0.13 ,"$991,710,768 ","$17,615,033,707 "
