Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
22,Cardano,ADA,"Jun 14, 2022",$0.46 ,$0.52 ,$0.44 ,$0.48 ,"$2,241,209,963 ","$16,349,268,635 "
23,Cardano,ADA,"Jun 13, 2022",$0.50 ,$0.50 ,$0.44 ,$0.46 ,"$2,551,895,485 ","$15,631,922,421 "
24,Cardano,ADA,"Jun 12, 2022",$0.55 ,$0.56 ,$0.50 ,$0.50 ,"$1,474,640,183 ","$16,770,325,342 "
25,Cardano,ADA,"Jun 11, 2022",$0.57 ,$0.61 ,$0.55 ,$0.55 ,"$1,232,257,018 ","$18,657,652,296 "
26,Cardano,ADA,"Jun 10, 2022",$0.63 ,$0.64 ,$0.57 ,$0.57 ,"$1,170,021,356 ","$19,381,277,867 "
27,Cardano,ADA,"Jun 09, 2022",$0.64 ,$0.66 ,$0.63 ,$0.63 ,"$1,166,081,755 ","$21,354,114,841 "
28,Cardano,ADA,"Jun 08, 2022",$0.62 ,$0.67 ,$0.61 ,$0.64 ,"$1,636,846,100 ","$21,772,549,803 "
29,Cardano,ADA,"Jun 07, 2022",$0.61 ,$0.64 ,$0.57 ,$0.62 ,"$1,450,579,665 ","$20,772,850,135 "
30,Cardano,ADA,"Jun 06, 2022",$0.57 ,$0.64 ,$0.57 ,$0.61 ,"$1,417,826,128 ","$20,558,149,019 "
31,Cardano,ADA,"Jun 05, 2022",$0.57 ,$0.58 ,$0.56 ,$0.57 ,"$478,128,224 ","$19,133,051,326 "
32,Cardano,ADA,"Jun 04, 2022",$0.56 ,$0.57 ,$0.55 ,$0.57 ,"$559,861,766 ","$19,106,277,156 "
33,Cardano,ADA,"Jun 03, 2022",$0.59 ,$0.60 ,$0.54 ,$0.56 ,"$910,186,327 ","$18,991,447,265 "
34,Cardano,ADA,"Jun 02, 2022",$0.55 ,$0.60 ,$0.55 ,$0.59 ,"$1,257,661,647 ","$19,839,578,551 "
35,Cardano,ADA,"Jun 01, 2022",$0.63 ,$0.63 ,$0.54 ,$0.55 ,"$1,404,107,650 ","$18,649,236,556 "
36,Cardano,ADA,"May 31, 2022",$0.57 ,$0.68 ,$0.57 ,$0.63 ,"$3,269,050,143 ","$21,095,465,849 "
37,Cardano,ADA,"May 30, 2022",$0.48 ,$0.58 ,$0.48 ,$0.57 ,"$1,185,015,742 ","$19,233,725,201 "
38,Cardano,ADA,"May 29, 2022",$0.46 ,$0.48 ,$0.46 ,$0.48 ,"$444,269,488 ","$16,271,803,266 "
39,Cardano,ADA,"May 28, 2022",$0.46 ,$0.47 ,$0.45 ,$0.46 ,"$448,858,644 ","$15,718,441,823 "
40,Cardano,ADA,"May 27, 2022",$0.48 ,$0.48 ,$0.45 ,$0.46 ,"$922,413,717 ","$15,374,540,946 "
41,Cardano,ADA,"May 26, 2022",$0.51 ,$0.52 ,$0.47 ,$0.48 ,"$909,554,798 ","$16,224,514,598 "
42,Cardano,ADA,"May 25, 2022",$0.52 ,$0.53 ,$0.51 ,$0.51 ,"$589,015,500 ","$17,379,444,292 "
43,Cardano,ADA,"May 24, 2022",$0.51 ,$0.52 ,$0.50 ,$0.52 ,"$678,125,877 ","$17,627,919,620 "
44,Cardano,ADA,"May 23, 2022",$0.54 ,$0.56 ,$0.51 ,$0.51 ,"$753,004,177 ","$17,336,429,150 "
45,Cardano,ADA,"May 22, 2022",$0.53 ,$0.55 ,$0.52 ,$0.54 ,"$489,742,264 ","$18,307,396,578 "
46,Cardano,ADA,"May 21, 2022",$0.52 ,$0.54 ,$0.51 ,$0.53 ,"$428,041,383 ","$17,831,941,058 "
47,Cardano,ADA,"May 20, 2022",$0.53 ,$0.54 ,$0.50 ,$0.52 ,"$722,609,837 ","$17,515,756,704 "
48,Cardano,ADA,"May 19, 2022",$0.51 ,$0.54 ,$0.50 ,$0.53 ,"$939,230,823 ","$18,037,043,684 "
49,Cardano,ADA,"May 18, 2022",$0.58 ,$0.58 ,$0.51 ,$0.51 ,"$933,793,601 ","$17,065,797,555 "
50,Cardano,ADA,"May 17, 2022",$0.56 ,$0.60 ,$0.55 ,$0.58 ,"$935,138,863 ","$19,503,757,289 "
