Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
35,Dai,DAI,"Jun 01, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$244,829,435 ","$6,793,401,726 "
36,Dai,DAI,"May 31, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$219,285,219 ","$6,761,683,478 "
37,Dai,DAI,"May 30, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$302,207,850 ","$6,695,083,677 "
38,Dai,DAI,"May 29, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$109,935,313 ","$6,647,636,088 "
39,Dai,DAI,"May 28, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$166,333,209 ","$6,637,252,173 "
40,Dai,DAI,"May 27, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$488,196,485 ","$6,616,703,573 "
41,Dai,DAI,"May 26, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$547,527,265 ","$6,594,671,409 "
42,Dai,DAI,"May 25, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$296,301,154 ","$6,561,405,582 "
43,Dai,DAI,"May 24, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$337,378,874 ","$6,583,445,368 "
44,Dai,DAI,"May 23, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$319,550,893 ","$6,566,658,452 "
45,Dai,DAI,"May 22, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$235,185,157 ","$6,544,169,487 "
46,Dai,DAI,"May 21, 2022",$1 ,$1.00 ,$1.00 ,$1.00 ,"$352,284,549 ","$6,523,235,725 "
47,Dai,DAI,"May 20, 2022",$1.00 ,$1.00 ,$1.00 ,$1 ,"$700,516,373 ","$6,520,477,077 "
48,Dai,DAI,"May 19, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$371,528,681 ","$6,565,837,866 "
49,Dai,DAI,"May 18, 2022",$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$356,783,138 ","$6,497,594,837 "
